method,episode_id,family,case_type,failure_reason,predicted_contract_id,predicted_state,confidence,response,action_completed,repaired,rationale
LearnedPAM,controlled_research_ideation_019_wrong_scope,research_ideation,wrong_scope,false_trigger,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_research_ideation_020_wrong_scope,research_ideation,wrong_scope,false_trigger,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_research_ideation_025_conflict,research_ideation,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=research_ideation confidence=0.55
LearnedPAM,controlled_food_safety_001_direct_trigger,food_safety,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_002_direct_trigger,food_safety,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_003_direct_trigger,food_safety,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_004_direct_trigger,food_safety,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_005_indirect_trigger,food_safety,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_006_indirect_trigger,food_safety,indirect_trigger,missed_or_incomplete_action,nut_safety,fire,0.4,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=food_safety:0.75 specificity=0.18 base=0.18 bonus=0.22 retrieval=0.18 guard=0.00 action=0.00
LearnedPAM,controlled_food_safety_007_indirect_trigger,food_safety,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_food_safety_008_indirect_trigger,food_safety,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_food_safety_009_indirect_trigger,food_safety,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_food_safety_010_indirect_trigger,food_safety,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_019_wrong_scope,food_safety,wrong_scope,false_trigger,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_food_safety_024_conflict,food_safety,conflict,conflict_failure,nut_safety,fire,0.5362,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=food_safety:0.75 specificity=0.30 base=0.32 bonus=0.22 retrieval=0.30 guard=0.00 action=0.06
LearnedPAM,controlled_food_safety_025_conflict,food_safety,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=food_safety confidence=0.55
LearnedPAM,controlled_food_safety_026_conflict,food_safety,conflict,conflict_failure,nut_safety,fire,0.4168,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=food_safety:0.75 specificity=0.18 base=0.20 bonus=0.22 retrieval=0.18 guard=0.00 action=0.07
LearnedPAM,controlled_code_security_001_direct_trigger,code_security,direct_trigger,missed_or_incomplete_action,flask_auth_security,fire,0.7204,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=code_security:0.75 specificity=0.42 base=0.50 bonus=0.22 retrieval=0.42 guard=0.20 action=0.00
LearnedPAM,controlled_code_security_002_direct_trigger,code_security,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=code_security confidence=0.55
LearnedPAM,controlled_code_security_003_direct_trigger,code_security,direct_trigger,missed_or_incomplete_action,flask_auth_security,fire,0.8503,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=code_security:0.75 specificity=0.52 base=0.63 bonus=0.22 retrieval=0.52 guard=0.10 action=0.27
LearnedPAM,controlled_code_security_004_direct_trigger,code_security,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=code_security confidence=0.55
LearnedPAM,controlled_code_security_005_indirect_trigger,code_security,indirect_trigger,missed_or_incomplete_action,flask_auth_security,fire,0.6714,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=code_security:0.75 specificity=0.42 base=0.45 bonus=0.22 retrieval=0.42 guard=0.08 action=0.00
LearnedPAM,controlled_code_security_006_indirect_trigger,code_security,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=code_security confidence=0.55
LearnedPAM,controlled_code_security_007_indirect_trigger,code_security,indirect_trigger,missed_or_incomplete_action,flask_auth_security,fire,0.5438,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=code_security:0.75 specificity=0.30 base=0.32 bonus=0.22 retrieval=0.30 guard=0.00 action=0.10
LearnedPAM,controlled_code_security_008_indirect_trigger,code_security,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_code_security_009_indirect_trigger,code_security,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_code_security_010_indirect_trigger,code_security,indirect_trigger,missed_or_incomplete_action,flask_auth_security,fire,0.6756,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=code_security:0.75 specificity=0.42 base=0.46 bonus=0.22 retrieval=0.42 guard=0.09 action=0.00
LearnedPAM,controlled_code_security_024_conflict,code_security,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=code_security confidence=0.55
LearnedPAM,controlled_code_security_025_conflict,code_security,conflict,conflict_failure,flask_auth_security,fire,0.7002,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=code_security:0.75 specificity=0.42 base=0.48 bonus=0.22 retrieval=0.42 guard=0.10 action=0.09
LearnedPAM,controlled_code_security_026_conflict,code_security,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=code_security confidence=0.55
LearnedPAM,controlled_travel_planning_001_direct_trigger,travel_planning,direct_trigger,missed_or_incomplete_action,entry_constraints,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_002_direct_trigger,travel_planning,direct_trigger,missed_or_incomplete_action,entry_constraints,fire,0.5367,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.55 specificity=0.29 base=0.32 bonus=0.22 retrieval=0.29 guard=0.00 action=0.09
LearnedPAM,controlled_travel_planning_003_direct_trigger,travel_planning,direct_trigger,missed_or_incomplete_action,entry_constraints,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_004_direct_trigger,travel_planning,direct_trigger,missed_or_incomplete_action,entry_constraints,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_005_indirect_trigger,travel_planning,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=travel_planning confidence=0.55
LearnedPAM,controlled_travel_planning_006_indirect_trigger,travel_planning,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=travel_planning confidence=0.55
LearnedPAM,controlled_travel_planning_007_indirect_trigger,travel_planning,indirect_trigger,missed_or_incomplete_action,entry_constraints,fire,0.64,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.75 specificity=0.42 base=0.42 bonus=0.22 retrieval=0.42 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_008_indirect_trigger,travel_planning,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_009_indirect_trigger,travel_planning,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_010_indirect_trigger,travel_planning,indirect_trigger,missed_or_incomplete_action,entry_constraints,fire,0.75,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.55 specificity=0.53 base=0.53 bonus=0.22 retrieval=0.53 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_018_wrong_scope,travel_planning,wrong_scope,false_trigger,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_travel_planning_020_wrong_scope,travel_planning,wrong_scope,false_trigger,entry_constraints,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=travel_planning:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_001_direct_trigger,medical_caution,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=medical_caution confidence=0.55
LearnedPAM,controlled_medical_caution_002_direct_trigger,medical_caution,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=medical_caution confidence=0.55
LearnedPAM,controlled_medical_caution_003_direct_trigger,medical_caution,direct_trigger,missed_or_incomplete_action,health_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_004_direct_trigger,medical_caution,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=medical_caution confidence=0.55
LearnedPAM,controlled_medical_caution_005_indirect_trigger,medical_caution,indirect_trigger,missed_or_incomplete_action,health_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_006_indirect_trigger,medical_caution,indirect_trigger,missed_or_incomplete_action,health_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_007_indirect_trigger,medical_caution,indirect_trigger,missed_or_incomplete_action,health_uncertainty,fire,0.64,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.42 base=0.42 bonus=0.22 retrieval=0.42 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_008_indirect_trigger,medical_caution,indirect_trigger,missed_or_incomplete_action,health_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_009_indirect_trigger,medical_caution,indirect_trigger,missed_or_incomplete_action,health_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_010_indirect_trigger,medical_caution,indirect_trigger,missed_or_incomplete_action,health_uncertainty,conflict,0.93,Priority conflict: preserve the higher-priority contract. Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate.,True,False,meta_state=conflict activated_contract_id=health_uncertainty resolution=follow_contract conflict_reason=opposes_contract
LearnedPAM,controlled_medical_caution_013_near_miss,medical_caution,near_miss,false_trigger,health_uncertainty,fire,0.4953,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=medical_caution:0.55 specificity=0.28 base=0.28 bonus=0.22 retrieval=0.28 guard=0.00 action=0.00
LearnedPAM,controlled_medical_caution_024_conflict,medical_caution,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=medical_caution confidence=0.55
LearnedPAM,controlled_medical_caution_025_conflict,medical_caution,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=medical_caution confidence=0.55
LearnedPAM,controlled_email_rewriting_001_direct_trigger,email_rewriting,direct_trigger,missed_or_incomplete_action,plain_professional_email,fire,0.7821,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=email_rewriting:0.75 specificity=0.52 base=0.56 bonus=0.22 retrieval=0.52 guard=0.10 action=0.00
LearnedPAM,controlled_email_rewriting_002_direct_trigger,email_rewriting,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_email_rewriting_003_direct_trigger,email_rewriting,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_email_rewriting_004_direct_trigger,email_rewriting,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_email_rewriting_005_indirect_trigger,email_rewriting,indirect_trigger,missed_or_incomplete_action,plain_professional_email,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=email_rewriting:0.75 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_email_rewriting_006_indirect_trigger,email_rewriting,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_email_rewriting_007_indirect_trigger,email_rewriting,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_email_rewriting_008_indirect_trigger,email_rewriting,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_email_rewriting_009_indirect_trigger,email_rewriting,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_email_rewriting_010_indirect_trigger,email_rewriting,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_email_rewriting_024_conflict,email_rewriting,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.75
LearnedPAM,controlled_email_rewriting_025_conflict,email_rewriting,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_email_rewriting_026_conflict,email_rewriting,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=email_rewriting confidence=0.55
LearnedPAM,controlled_benchmark_novelty_001_direct_trigger,benchmark_novelty,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_002_direct_trigger,benchmark_novelty,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_003_direct_trigger,benchmark_novelty,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_004_direct_trigger,benchmark_novelty,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_005_indirect_trigger,benchmark_novelty,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_006_indirect_trigger,benchmark_novelty,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_007_indirect_trigger,benchmark_novelty,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_benchmark_novelty_008_indirect_trigger,benchmark_novelty,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_benchmark_novelty_009_indirect_trigger,benchmark_novelty,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_benchmark_novelty_010_indirect_trigger,benchmark_novelty,indirect_trigger,wrong_contract_action,research_prior_work,fire,0.6573,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=research_ideation:0.55 specificity=0.42 base=0.44 bonus=0.22 retrieval=0.42 guard=0.00 action=0.07
LearnedPAM,controlled_benchmark_novelty_024_conflict,benchmark_novelty,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_benchmark_novelty_025_conflict,benchmark_novelty,conflict,conflict_failure,benchmark_contribution_role,fire,0.55,Applicable prospective contract found; preparing answer.,False,False,learned_pam_fallback low-threshold query-contract activation
LearnedPAM,controlled_benchmark_novelty_026_conflict,benchmark_novelty,conflict,conflict_failure,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=research_ideation candidate=benchmark_novelty confidence=0.55
LearnedPAM,controlled_scheduling_001_direct_trigger,scheduling,direct_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.75 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_002_direct_trigger,scheduling,direct_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.4,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.18 base=0.18 bonus=0.22 retrieval=0.18 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_003_direct_trigger,scheduling,direct_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=legal_policy_caution candidate=scheduling confidence=0.55
LearnedPAM,controlled_scheduling_004_direct_trigger,scheduling,direct_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_005_indirect_trigger,scheduling,indirect_trigger,wrong_contract_action,none,suppress,0.05,No prospective action is needed.,False,False,intent_family_gate detected=travel_planning candidate=scheduling confidence=0.55
LearnedPAM,controlled_scheduling_006_indirect_trigger,scheduling,indirect_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.64,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.42 base=0.42 bonus=0.22 retrieval=0.42 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_007_indirect_trigger,scheduling,indirect_trigger,wrong_contract_action,legal_policy_uncertainty,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=legal_policy_caution:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_008_indirect_trigger,scheduling,indirect_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_009_indirect_trigger,scheduling,indirect_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.52,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.30 base=0.30 bonus=0.22 retrieval=0.30 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_010_indirect_trigger,scheduling,indirect_trigger,missed_or_incomplete_action,schedule_conflict_check,fire,0.64,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.42 base=0.42 bonus=0.22 retrieval=0.42 guard=0.00 action=0.00
LearnedPAM,controlled_scheduling_024_conflict,scheduling,conflict,missed_or_incomplete_action,schedule_conflict_check,conflict,0.93,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,True,False,meta_state=conflict activated_contract_id=schedule_conflict_check resolution=follow_contract conflict_reason=opposes_contract
LearnedPAM,controlled_scheduling_025_conflict,scheduling,conflict,conflict_failure,schedule_conflict_check,fire,0.5578,Applicable prospective contract found; preparing answer.,False,False,meta_state=fire intent=scheduling:0.55 specificity=0.30 base=0.34 bonus=0.22 retrieval=0.30 guard=0.09 action=0.00
