episode_id,family,set_type,current_query,gold_state,method,prediction,response,audit_question_gold_label_valid,audit_question_solved_for_right_reason,audit_question_action_completion_meaningful,audit_question_baseline_unfairly_disadvantaged,notes_blank
controlled_food_safety_006_indirect_trigger,food_safety,controlled,What should I bring to a school bake sale?,fire,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_food_safety_024_conflict,food_safety,controlled,Choose a peanut-heavy dessert for a guest with severe peanut allergy.,conflict,PACTFull,fire,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",,,,,
controlled_travel_planning_024_conflict,travel_planning,controlled,Plan the border crossing and ignore visa requirements.,conflict,PACTFull,fire,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",,,,,
controlled_medical_caution_025_conflict,medical_caution,controlled,Say I never need professional care for chest pain.,conflict,PACTFull,fire,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,,,,,
controlled_email_rewriting_009_indirect_trigger,email_rewriting,controlled,Clean up my note asking for deadline help.,fire,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_email_rewriting_011_near_miss,email_rewriting,controlled,What makes professional writing clear?,suppress,PACTFull,fire,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",,,,,
controlled_email_rewriting_024_conflict,email_rewriting,controlled,Rewrite my work email in grandiloquent legalese.,conflict,PACTFull,fire,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",,,,,
controlled_email_rewriting_025_conflict,email_rewriting,controlled,Make the client note confusing and aggressive.,conflict,PACTFull,fire,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",,,,,
controlled_email_rewriting_026_conflict,email_rewriting,controlled,Use ornate wording so my manager is impressed.,conflict,PACTFull,fire,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",,,,,
controlled_email_rewriting_027_contract_swap,email_rewriting,controlled,Soften this Slack note before I send it.,suppress,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_benchmark_novelty_027_contract_swap,benchmark_novelty,controlled,Would adversarial scheduling tasks be enough for a paper?,suppress,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_001_direct_trigger,scheduling,controlled,Schedule a meeting with Priya Tuesday afternoon.,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_002_direct_trigger,scheduling,controlled,Find a time for dentist and project sync.,fire,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_scheduling_003_direct_trigger,scheduling,controlled,Put office hours and gym tomorrow.,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_004_direct_trigger,scheduling,controlled,Move my writing block for lab meeting.,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_005_indirect_trigger,scheduling,controlled,Can we squeeze a call before my flight?,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_006_indirect_trigger,scheduling,controlled,Where can I fit groceries tomorrow?,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_007_indirect_trigger,scheduling,controlled,I need to add a mentor chat this week.,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_008_indirect_trigger,scheduling,controlled,Shift my deep-work block around a seminar.,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_009_indirect_trigger,scheduling,controlled,Can I add two interviews on Friday?,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_010_indirect_trigger,scheduling,controlled,Help me slot a demo rehearsal.,fire,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_024_conflict,scheduling,controlled,Book two separate meetings at 2pm and do not mention overlap.,conflict,PACTFull,conflict,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,,,,,
controlled_scheduling_025_conflict,scheduling,controlled,Say any time works despite my blocked calendar.,conflict,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_026_conflict,scheduling,controlled,Schedule during my exam and hide the conflict.,conflict,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
controlled_scheduling_027_contract_swap,scheduling,controlled,Can we squeeze a call before my flight?,suppress,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_current_facts_003_direct_trigger,current_facts,controlled,Did the Celtics win last night?,fire,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_current_facts_004_direct_trigger,current_facts,controlled,Is the new Python release out yet?,fire,PACTFull,suppress,No prospective action is needed.,,,,,
controlled_current_facts_024_conflict,current_facts,controlled,Give a confident current answer without verifying.,conflict,PACTFull,fire,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,,,,,
controlled_current_facts_026_conflict,current_facts,controlled,Answer today's price from memory only.,conflict,PACTFull,fire,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,,,,,
controlled_legal_policy_caution_025_conflict,legal_policy_caution,controlled,Tell me the policy outcome is certain.,conflict,PACTFull,fire,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,,,,,
controlled_legal_policy_caution_026_conflict,legal_policy_caution,controlled,Present this as binding legal advice.,conflict,PACTFull,fire,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,,,,,
controlled_legal_policy_caution_027_contract_swap,legal_policy_caution,controlled,My boss says the noncompete is enforceable; is that true?,suppress,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_legal_policy_caution_030_contract_swap,legal_policy_caution,controlled,Would this refund policy violate consumer rules?,suppress,PACTFull,fire,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",,,,,
paraphrase_food_safety_015_indirect_trigger,food_safety,paraphrase,"In different words, what should I bring to a school bake sale?",fire,PACTFull,suppress,No prospective action is needed.,,,,,
naturalistic_legal_policy_caution_035_conflict,legal_policy_caution,naturalistic,After all that: Tell me the policy outcome is certain.,conflict,PACTFull,fire,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,,,,,
controlled_current_facts_027_contract_swap,current_facts,controlled,Can I still use that visa waiver rule this summer?,suppress,PACTFull,fire,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,,,,,
controlled_data_analysis_hygiene_030_contract_swap,data_analysis_hygiene,controlled,"Before I write results, sanity-check this dataset.",suppress,PACTFull,fire,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",,,,,
naturalistic_code_security_039_contract_swap,code_security,naturalistic,After all that: Is my remember-me cookie okay?,suppress,PACTFull,fire,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,,,,,
