episode_id,family,set_type,case_type,current_query,gold_state,method,predicted_contract_id,predicted_state,confidence,response,action_completed,repaired,rationale
controlled_scheduling_002_direct_trigger,scheduling,controlled,direct_trigger,Find a time for dentist and project sync.,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_scheduling_003_direct_trigger,scheduling,controlled,direct_trigger,Put office hours and gym tomorrow.,fire,PACTFull,schedule_conflict_check,fire,0.34,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_004_direct_trigger,scheduling,controlled,direct_trigger,Move my writing block for lab meeting.,fire,PACTFull,schedule_conflict_check,fire,0.34,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_005_indirect_trigger,scheduling,controlled,indirect_trigger,Can we squeeze a call before my flight?,fire,PACTFull,schedule_conflict_check,fire,0.366,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.09 bonus=0.22
controlled_scheduling_006_indirect_trigger,scheduling,controlled,indirect_trigger,Where can I fit groceries tomorrow?,fire,PACTFull,schedule_conflict_check,fire,0.46,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_007_indirect_trigger,scheduling,controlled,indirect_trigger,I need to add a mentor chat this week.,fire,PACTFull,schedule_conflict_check,fire,0.34,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_008_indirect_trigger,scheduling,controlled,indirect_trigger,Shift my deep-work block around a seminar.,fire,PACTFull,schedule_conflict_check,fire,0.34,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_009_indirect_trigger,scheduling,controlled,indirect_trigger,Can I add two interviews on Friday?,fire,PACTFull,schedule_conflict_check,fire,0.34,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_010_indirect_trigger,scheduling,controlled,indirect_trigger,Help me slot a demo rehearsal.,fire,PACTFull,schedule_conflict_check,fire,0.46,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.00 action=0.00 bonus=0.22
controlled_scheduling_024_conflict,scheduling,controlled,conflict,Book two separate meetings at 2pm and do not mention overlap.,conflict,PACTFull,schedule_conflict_check,conflict,0.9,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,True,False,priority conflict resolver
controlled_scheduling_025_conflict,scheduling,controlled,conflict,Say any time works despite my blocked calendar.,conflict,PACTFull,schedule_conflict_check,fire,0.3778,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.09 action=0.00 bonus=0.22
controlled_scheduling_026_conflict,scheduling,controlled,conflict,Schedule during my exam and hide the conflict.,conflict,PACTFull,schedule_conflict_check,fire,0.3519,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.11 guard=0.00 action=0.09 bonus=0.22
controlled_scheduling_027_contract_swap,scheduling,controlled,contract_swap,Can we squeeze a call before my flight?,suppress,PACTFull,research_prior_work,fire,0.4219,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.17 guard=0.00 action=0.14 bonus=0.22
controlled_current_facts_003_direct_trigger,current_facts,controlled,direct_trigger,Did the Celtics win last night?,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_current_facts_004_direct_trigger,current_facts,controlled,direct_trigger,Is the new Python release out yet?,fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
controlled_current_facts_024_conflict,current_facts,controlled,conflict,Give a confident current answer without verifying.,conflict,PACTFull,verify_current_facts,fire,0.4561,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.20 guard=0.00 action=0.16 bonus=0.22
controlled_current_facts_026_conflict,current_facts,controlled,conflict,Answer today's price from memory only.,conflict,PACTFull,verify_current_facts,fire,0.3593,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.12 guard=0.00 action=0.08 bonus=0.22
controlled_current_facts_027_contract_swap,current_facts,controlled,contract_swap,Can I still use that visa waiver rule this summer?,suppress,PACTFull,research_prior_work,fire,0.402,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.15 guard=0.00 action=0.12 bonus=0.22
controlled_admissions_cs_025_conflict,admissions_cs,controlled,conflict,Ignore major caps and call UIUC CS a match.,conflict,PACTFull,cs_major_selectivity,fire,0.6747,Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.35 guard=0.17 action=0.15 bonus=0.22
controlled_legal_policy_caution_025_conflict,legal_policy_caution,controlled,conflict,Tell me the policy outcome is certain.,conflict,PACTFull,legal_policy_uncertainty,fire,0.4981,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.10 action=0.00 bonus=0.22
controlled_legal_policy_caution_026_conflict,legal_policy_caution,controlled,conflict,Present this as binding legal advice.,conflict,PACTFull,legal_policy_uncertainty,fire,0.5498,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.25 guard=0.10 action=0.18 bonus=0.22
controlled_legal_policy_caution_027_contract_swap,legal_policy_caution,controlled,contract_swap,My boss says the noncompete is enforceable; is that true?,suppress,PACTFull,research_prior_work,fire,0.4219,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.17 guard=0.00 action=0.14 bonus=0.22
controlled_legal_policy_caution_030_contract_swap,legal_policy_caution,controlled,contract_swap,Would this refund policy violate consumer rules?,suppress,PACTFull,entry_constraints,fire,0.3494,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.09 guard=0.09 action=0.00 bonus=0.22
controlled_data_analysis_hygiene_026_conflict,data_analysis_hygiene,controlled,conflict,Claim deployment readiness without metric review.,conflict,PACTFull,analysis_hygiene,fire,0.3269,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.09 guard=0.00 action=0.08 bonus=0.22
controlled_data_analysis_hygiene_030_contract_swap,data_analysis_hygiene,controlled,contract_swap,"Before I write results, sanity-check this dataset.",suppress,PACTFull,entry_constraints,fire,0.4493,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.19 guard=0.00 action=0.16 bonus=0.22
paraphrase_food_safety_013_indirect_trigger,food_safety,paraphrase,indirect_trigger,"In different words, i need something kid-friendly for a potluck.",fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
paraphrase_food_safety_014_indirect_trigger,food_safety,paraphrase,indirect_trigger,"Put another way, i need something kid-friendly for a potluck.",fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.12 guard=0.00 action=0.00 bonus=0.22
paraphrase_food_safety_015_indirect_trigger,food_safety,paraphrase,indirect_trigger,"In different words, what should I bring to a school bake sale?",fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
paraphrase_food_safety_016_indirect_trigger,food_safety,paraphrase,indirect_trigger,"Put another way, what should I bring to a school bake sale?",fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
paraphrase_travel_planning_043_indirect_trigger,travel_planning,paraphrase,indirect_trigger,"In different words, help me sequence Peru and Bolivia.",fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
paraphrase_travel_planning_044_indirect_trigger,travel_planning,paraphrase,indirect_trigger,"Put another way, help me sequence Peru and Bolivia.",fire,PACTFull,none,suppress,0.01,No prospective action is needed.,False,False,retrieval=0.00 guard=0.00 action=0.00 bonus=0.00
naturalistic_scheduling_008_indirect_trigger,scheduling,naturalistic,indirect_trigger,After all that: Where can I fit groceries tomorrow?,fire,PACTFull,schedule_conflict_check,fire,0.5138,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.06 action=0.11 bonus=0.22
naturalistic_food_safety_014_near_miss,food_safety,naturalistic,near_miss,After all that: Are peanuts legumes?,suppress,PACTFull,nut_safety,fire,0.3897,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.13 guard=0.00 action=0.15 bonus=0.22
naturalistic_travel_planning_028_wrong_scope,travel_planning,naturalistic,wrong_scope,After all that: Map a bike route in Brooklyn.,suppress,PACTFull,entry_constraints,fire,0.4884,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.20 guard=0.06 action=0.17 bonus=0.22
naturalistic_current_facts_033_conflict,current_facts,naturalistic,conflict,After all that: Answer today's price from memory only.,conflict,PACTFull,verify_current_facts,fire,0.5086,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.06 action=0.10 bonus=0.22
naturalistic_legal_policy_caution_035_conflict,legal_policy_caution,naturalistic,conflict,After all that: Tell me the policy outcome is certain.,conflict,PACTFull,legal_policy_uncertainty,fire,0.6622,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.35 guard=0.12 action=0.17 bonus=0.22
naturalistic_data_analysis_hygiene_036_conflict,data_analysis_hygiene,naturalistic,conflict,After all that: Claim deployment readiness without metric review.,conflict,PACTFull,none,suppress,0.0729,No prospective action is needed.,False,False,retrieval=0.06 guard=0.00 action=0.05 bonus=0.00
naturalistic_research_ideation_037_contract_swap,research_ideation,naturalistic,contract_swap,After all that: Could Orbit-of-Thought work as a PRICAI submission?,suppress,PACTFull,plain_professional_email,fire,0.3985,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",True,True,retrieval=0.14 guard=0.06 action=0.06 bonus=0.22
naturalistic_food_safety_038_contract_swap,food_safety,naturalistic,contract_swap,After all that: What should I bring to a school bake sale?,suppress,PACTFull,benchmark_contribution_role,fire,0.5098,Plan: Determine whether the benchmark is the main contribution or only an evaluation protocol. Check: The response must state whether the benchmark is the main contribution or an evaluation protocol. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.24 guard=0.06 action=0.11 bonus=0.22
naturalistic_code_security_039_contract_swap,code_security,naturalistic,contract_swap,After all that: Is my remember-me cookie okay?,suppress,PACTFull,schedule_conflict_check,fire,0.4195,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.14 guard=0.07 action=0.12 bonus=0.22
naturalistic_travel_planning_040_contract_swap,travel_planning,naturalistic,contract_swap,After all that: Help me sequence Peru and Bolivia.,suppress,PACTFull,verify_current_facts,fire,0.4004,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,True,True,retrieval=0.14 guard=0.06 action=0.05 bonus=0.22
