episode_id,family,case_type,set_type,gold_state,gold_contract_id,current_pred_state,current_pred_contract_id,r2_pred_state,r2_pred_contract_id,current_success_strict,r2_success_strict,transition,failure_reason_current,failure_reason_r2,current_response,r2_response
controlled_admissions_cs_025_conflict,admissions_cs,conflict,controlled,conflict,cs_major_selectivity,fire,cs_major_selectivity,conflict,cs_major_selectivity,False,True,fixed,behavioral_conflict_without_detection,success,Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds.
controlled_legal_policy_caution_012_near_miss,legal_policy_caution,near_miss,controlled,suppress,none,suppress,none,fire,legal_policy_uncertainty,True,False,regressed,success,false_trigger,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
controlled_legal_policy_caution_013_near_miss,legal_policy_caution,near_miss,controlled,suppress,none,suppress,none,fire,legal_policy_uncertainty,True,False,regressed,success,false_trigger,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
controlled_legal_policy_caution_027_contract_swap,legal_policy_caution,contract_swap,controlled,suppress,none,fire,research_prior_work,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,No prospective action is needed.
controlled_legal_policy_caution_030_contract_swap,legal_policy_caution,contract_swap,controlled,suppress,none,fire,entry_constraints,suppress,none,False,True,fixed,wrong_contract_false_fire,success,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_data_analysis_hygiene_001_direct_trigger,data_analysis_hygiene,direct_trigger,controlled,fire,analysis_hygiene,fire,analysis_hygiene,suppress,none,True,False,regressed,success,wrong_contract_action,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",No prospective action is needed.
controlled_data_analysis_hygiene_026_conflict,data_analysis_hygiene,conflict,controlled,conflict,analysis_hygiene,fire,analysis_hygiene,suppress,none,False,False,unchanged_wrong,behavioral_conflict_without_detection,conflict_failure,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",No prospective action is needed.
paraphrase_food_safety_015_indirect_trigger,food_safety,indirect_trigger,paraphrase,fire,nut_safety,suppress,none,fire,nut_safety,False,True,fixed,wrong_contract_action,success,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
paraphrase_food_safety_016_indirect_trigger,food_safety,indirect_trigger,paraphrase,fire,nut_safety,suppress,none,fire,nut_safety,False,True,fixed,wrong_contract_action,success,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer."
naturalistic_medical_caution_005_indirect_trigger,medical_caution,indirect_trigger,naturalistic,fire,health_uncertainty,fire,health_uncertainty,fire,schedule_conflict_check,True,False,regressed,success,wrong_contract_action,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.
naturalistic_email_rewriting_006_indirect_trigger,email_rewriting,indirect_trigger,naturalistic,fire,plain_professional_email,fire,plain_professional_email,fire,schedule_conflict_check,True,False,regressed,success,wrong_contract_action,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.
naturalistic_current_facts_009_indirect_trigger,current_facts,indirect_trigger,naturalistic,fire,verify_current_facts,fire,verify_current_facts,fire,legal_policy_uncertainty,True,False,regressed,success,wrong_contract_action,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
naturalistic_data_analysis_hygiene_012_indirect_trigger,data_analysis_hygiene,indirect_trigger,naturalistic,fire,analysis_hygiene,fire,analysis_hygiene,fire,flask_auth_security,True,False,regressed,success,wrong_contract_action,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.
naturalistic_benchmark_novelty_019_near_miss,benchmark_novelty,near_miss,naturalistic,suppress,none,suppress,none,fire,legal_policy_uncertainty,True,False,regressed,success,false_trigger,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
naturalistic_scheduling_020_near_miss,scheduling,near_miss,naturalistic,suppress,none,suppress,none,fire,legal_policy_uncertainty,True,False,regressed,success,false_trigger,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
naturalistic_legal_policy_caution_023_wrong_scope,legal_policy_caution,wrong_scope,naturalistic,suppress,none,suppress,none,fire,legal_policy_uncertainty,True,False,regressed,success,false_trigger,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.
naturalistic_medical_caution_029_already_satisfied,medical_caution,already_satisfied,naturalistic,already_satisfied,health_uncertainty,already_satisfied,health_uncertainty,already_satisfied,cs_major_selectivity,True,True,unchanged_correct,success,success,The prospective action was already satisfied; continue without redundancy.,The prospective action was already satisfied; continue without redundancy.
naturalistic_email_rewriting_030_already_satisfied,email_rewriting,already_satisfied,naturalistic,already_satisfied,plain_professional_email,already_satisfied,plain_professional_email,already_satisfied,legal_policy_uncertainty,True,True,unchanged_correct,success,success,The prospective action was already satisfied; continue without redundancy.,The prospective action was already satisfied; continue without redundancy.
naturalistic_benchmark_novelty_031_already_satisfied,benchmark_novelty,already_satisfied,naturalistic,already_satisfied,benchmark_contribution_role,already_satisfied,benchmark_contribution_role,already_satisfied,legal_policy_uncertainty,True,True,unchanged_correct,success,success,The prospective action was already satisfied; continue without redundancy.,The prospective action was already satisfied; continue without redundancy.
naturalistic_current_facts_033_conflict,current_facts,conflict,naturalistic,conflict,verify_current_facts,fire,verify_current_facts,conflict,verify_current_facts,False,True,fixed,behavioral_conflict_without_detection,success,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer.
naturalistic_admissions_cs_034_conflict,admissions_cs,conflict,naturalistic,conflict,cs_major_selectivity,conflict,cs_major_selectivity,conflict,flask_auth_security,True,False,regressed,success,missed_or_incomplete_action,Priority conflict: preserve the higher-priority contract. Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds.,Priority conflict: preserve the higher-priority contract. Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety.
naturalistic_research_ideation_037_contract_swap,research_ideation,contract_swap,naturalistic,suppress,none,fire,plain_professional_email,suppress,none,False,True,fixed,wrong_contract_false_fire,success,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",No prospective action is needed.
naturalistic_food_safety_038_contract_swap,food_safety,contract_swap,naturalistic,suppress,none,fire,benchmark_contribution_role,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Determine whether the benchmark is the main contribution or only an evaluation protocol. Check: The response must state whether the benchmark is the main contribution or an evaluation protocol. Applicable prospective contract found; preparing answer.,No prospective action is needed.
naturalistic_code_security_039_contract_swap,code_security,contract_swap,naturalistic,suppress,none,fire,schedule_conflict_check,suppress,none,False,True,fixed,wrong_contract_false_fire,success,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,No prospective action is needed.
