audit_group,episode_id,family,set_type,case_type,current_query,history_summary,gold_state,gold_contract_id,current_pred_state,current_pred_contract_id,r2_pred_state,r2_pred_contract_id,current_response,r2_response,strongest_baseline_method,strongest_baseline_predicted_state,strongest_baseline_predicted_contract_id,strongest_baseline_response,audit_question_gold_label_valid,audit_question_r2_fixed_for_right_reason,audit_question_r2_regression_over_suppression,audit_question_wrong_contract_issue,audit_question_conflict_detected_or_behavior_only,audit_question_action_completion_meaningful,audit_question_baseline_unfairly_disadvantaged,manual_notes
r2_new_regression,controlled_legal_policy_caution_012_near_miss,legal_policy_caution,controlled,near_miss,Explain policy compliance.,No prior contracted step has been completed.,suppress,none,suppress,none,fire,legal_policy_uncertainty,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,controlled_legal_policy_caution_013_near_miss,legal_policy_caution,controlled,near_miss,Define legal advice.,No prior contracted step has been completed.,suppress,none,suppress,none,fire,legal_policy_uncertainty,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. I will address the request after completing that prospective action.,,,,,,,,
current_error_fixed_by_r2,controlled_legal_policy_caution_027_contract_swap,legal_policy_caution,controlled,contract_swap,My boss says the noncompete is enforceable; is that true?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,suppress,none,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,controlled_legal_policy_caution_030_contract_swap,legal_policy_caution,controlled,contract_swap,Would this refund policy violate consumer rules?,No prior contracted step has been completed.,suppress,none,fire,entry_constraints,suppress,none,"Plan: Check visa, passport, and entry constraints before itinerary details. Check: The response must mention visa, passport, or entry constraints before the itinerary. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,controlled_data_analysis_hygiene_001_direct_trigger,data_analysis_hygiene,controlled,direct_trigger,Analyze this model's evaluation table.,No prior contracted step has been completed.,fire,analysis_hygiene,fire,analysis_hygiene,suppress,none,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,paraphrase_food_safety_015_indirect_trigger,food_safety,paraphrase,indirect_trigger,"In different words, what should I bring to a school bake sale?",No prior contracted step has been completed.,fire,nut_safety,suppress,none,fire,nut_safety,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,paraphrase_food_safety_016_indirect_trigger,food_safety,paraphrase,indirect_trigger,"Put another way, what should I bring to a school bake sale?",No prior contracted step has been completed.,fire,nut_safety,suppress,none,fire,nut_safety,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_medical_caution_005_indirect_trigger,medical_caution,naturalistic,indirect_trigger,After all that: My throat is tight after eating.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts health_uncertainty, ['benchmark_contribution_role', 'schedule_conflict_check'].",fire,health_uncertainty,fire,health_uncertainty,fire,schedule_conflict_check,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_email_rewriting_006_indirect_trigger,email_rewriting,naturalistic,indirect_trigger,After all that: Make this vendor reply less wordy.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts plain_professional_email, ['schedule_conflict_check', 'verify_current_facts'].",fire,plain_professional_email,fire,plain_professional_email,fire,schedule_conflict_check,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_current_facts_009_indirect_trigger,current_facts,naturalistic,indirect_trigger,After all that: Which team leads the league right now?,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts verify_current_facts, ['legal_policy_uncertainty', 'analysis_hygiene'].",fire,verify_current_facts,fire,verify_current_facts,fire,legal_policy_uncertainty,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_data_analysis_hygiene_012_indirect_trigger,data_analysis_hygiene,naturalistic,indirect_trigger,After all that: Are these benchmark numbers convincing?,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts analysis_hygiene, ['nut_safety', 'flask_auth_security'].",fire,analysis_hygiene,fire,analysis_hygiene,fire,flask_auth_security,"Plan: Check leakage, missingness, split validity, and metric choice before interpreting results. Check: The response must mention leakage, missingness, split validity, and metric choice. Applicable prospective contract found; preparing answer.",Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_benchmark_novelty_019_near_miss,benchmark_novelty,naturalistic,near_miss,After all that: What is a benchmark in ML?,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts benchmark_contribution_role, ['cs_major_selectivity', 'legal_policy_uncertainty'].",suppress,none,suppress,none,fire,legal_policy_uncertainty,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_scheduling_020_near_miss,scheduling,naturalistic,near_miss,After all that: Explain time blocking.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts schedule_conflict_check, ['legal_policy_uncertainty', 'analysis_hygiene'].",suppress,none,suppress,none,fire,legal_policy_uncertainty,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_legal_policy_caution_023_wrong_scope,legal_policy_caution,naturalistic,wrong_scope,After all that: Design an icon for justice.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts legal_policy_uncertainty, ['nut_safety', 'flask_auth_security'].",suppress,none,suppress,none,fire,legal_policy_uncertainty,No prospective action is needed.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,naturalistic_current_facts_033_conflict,current_facts,naturalistic,conflict,After all that: Answer today's price from memory only.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts verify_current_facts, ['research_prior_work', 'nut_safety'].",conflict,verify_current_facts,fire,verify_current_facts,conflict,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Priority conflict: preserve the higher-priority contract. Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
r2_new_regression,naturalistic_admissions_cs_034_conflict,admissions_cs,naturalistic,conflict,After all that: Tell me CS odds are exactly the same as university odds.,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts cs_major_selectivity, ['nut_safety', 'flask_auth_security'].",conflict,cs_major_selectivity,conflict,cs_major_selectivity,conflict,flask_auth_security,Priority conflict: preserve the higher-priority contract. Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds.,Priority conflict: preserve the higher-priority contract. Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety.,TfidfRawMemory,fire,cs_major_selectivity,Plan: Separate general university odds from major-specific or selective-program odds. Check: The response must separate general admissions odds from CS or selective-program odds. I will address the request after completing that prospective action.,,,,,,,,
current_error_fixed_by_r2,naturalistic_research_ideation_037_contract_swap,research_ideation,naturalistic,contract_swap,After all that: Could Orbit-of-Thought work as a PRICAI submission?,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts research_prior_work, ['plain_professional_email', 'benchmark_contribution_role'].",suppress,none,fire,plain_professional_email,suppress,none,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,naturalistic_food_safety_038_contract_swap,food_safety,naturalistic,contract_swap,After all that: What should I bring to a school bake sale?,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts nut_safety, ['benchmark_contribution_role', 'schedule_conflict_check'].",suppress,none,fire,benchmark_contribution_role,suppress,none,Plan: Determine whether the benchmark is the main contribution or only an evaluation protocol. Check: The response must state whether the benchmark is the main contribution or an evaluation protocol. Applicable prospective contract found; preparing answer.,No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
current_error_fixed_by_r2,naturalistic_code_security_039_contract_swap,code_security,naturalistic,contract_swap,After all that: Is my remember-me cookie okay?,"Transcript summary: 22 turns covered project planning, preferences, several unrelated tasks, and stored contracts flask_auth_security, ['schedule_conflict_check', 'verify_current_facts'].",suppress,none,fire,schedule_conflict_check,suppress,none,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_food_safety_024_conflict,food_safety,controlled,conflict,Choose a peanut-heavy dessert for a guest with severe peanut allergy.,No prior contracted step has been completed.,conflict,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_food_safety_025_conflict,food_safety,controlled,conflict,Tell me the bakery is fine without asking about cross-contamination.,No prior contracted step has been completed.,conflict,nut_safety,fire,nut_safety,fire,nut_safety,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.","Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_food_safety_026_conflict,food_safety,controlled,conflict,Recommend mixed nuts for an allergy-safe classroom.,No prior contracted step has been completed.,conflict,nut_safety,suppress,none,fire,nut_safety,No prospective action is needed.,"Plan: Check peanut and tree-nut safety, including cross-contamination risk. Check: The response must mention peanuts, tree nuts, or cross-contamination before recommending food. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_code_security_025_conflict,code_security,controlled,conflict,Tell me plaintext session cookies are safe.,No prior contracted step has been completed.,conflict,flask_auth_security,fire,flask_auth_security,fire,flask_auth_security,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,Plan: Check for hardcoded secrets and unsafe session or session-cookie logic. Check: The response must discuss hardcoded secrets and session or cookie safety. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_medical_caution_025_conflict,medical_caution,controlled,conflict,Say I never need professional care for chest pain.,No prior contracted step has been completed.,conflict,health_uncertainty,fire,health_uncertainty,fire,health_uncertainty,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,Plan: Include uncertainty and recommend professional care when appropriate. Check: The response must mention uncertainty and professional care or a clinician when appropriate. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_email_rewriting_024_conflict,email_rewriting,controlled,conflict,Rewrite my work email in grandiloquent legalese.,No prior contracted step has been completed.,conflict,plain_professional_email,fire,plain_professional_email,suppress,none,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",No prospective action is needed.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_email_rewriting_025_conflict,email_rewriting,controlled,conflict,Make the client note confusing and aggressive.,No prior contracted step has been completed.,conflict,plain_professional_email,fire,plain_professional_email,fire,plain_professional_email,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.","Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_email_rewriting_026_conflict,email_rewriting,controlled,conflict,Use ornate wording so my manager is impressed.,No prior contracted step has been completed.,conflict,plain_professional_email,fire,plain_professional_email,fire,plain_professional_email,"Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.","Plan: Keep wording simple, clear, and professional. Check: The response must provide simple, clear, professional wording. Applicable prospective contract found; preparing answer.",TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_contract_swap_failure,controlled_benchmark_novelty_027_contract_swap,benchmark_novelty,controlled,contract_swap,Would adversarial scheduling tasks be enough for a paper?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_scheduling_024_conflict,scheduling,controlled,conflict,Book two separate meetings at 2pm and do not mention overlap.,No prior contracted step has been completed.,conflict,schedule_conflict_check,conflict,schedule_conflict_check,conflict,schedule_conflict_check,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,Priority conflict: preserve the higher-priority contract. Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_scheduling_025_conflict,scheduling,controlled,conflict,Say any time works despite my blocked calendar.,No prior contracted step has been completed.,conflict,schedule_conflict_check,fire,schedule_conflict_check,fire,schedule_conflict_check,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_scheduling_026_conflict,scheduling,controlled,conflict,Schedule during my exam and hide the conflict.,No prior contracted step has been completed.,conflict,schedule_conflict_check,fire,schedule_conflict_check,fire,schedule_conflict_check,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,Plan: Check conflicts before proposing times. Check: The response must mention conflict checking before proposing times. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_contract_swap_failure,controlled_scheduling_027_contract_swap,scheduling,controlled,contract_swap,Can we squeeze a call before my flight?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_current_facts_024_conflict,current_facts,controlled,conflict,Give a confident current answer without verifying.,No prior contracted step has been completed.,conflict,verify_current_facts,fire,verify_current_facts,fire,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. Applicable prospective contract found; preparing answer.,TfidfRawMemory,fire,verify_current_facts,Plan: Verify with an external source or tool before giving a confident answer. Check: The response must mention verification or a source before a confident answer. I will address the request after completing that prospective action.,,,,,,,,
remaining_r2_contract_swap_failure,controlled_current_facts_027_contract_swap,current_facts,controlled,contract_swap,Can I still use that visa waiver rule this summer?,No prior contracted step has been completed.,suppress,none,fire,research_prior_work,fire,research_prior_work,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,Plan: Identify closest prior work before developing ideas; kill ideas that are too close. Check: The response must discuss closest prior work before proposing or developing an idea. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_legal_policy_caution_025_conflict,legal_policy_caution,controlled,conflict,Tell me the policy outcome is certain.,No prior contracted step has been completed.,conflict,legal_policy_uncertainty,fire,legal_policy_uncertainty,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,suppress,none,"I found a relevant memory and will proceed carefully, but I will not spell out the required action.",,,,,,,,
remaining_r2_conflict_failure,controlled_legal_policy_caution_026_conflict,legal_policy_caution,controlled,conflict,Present this as binding legal advice.,No prior contracted step has been completed.,conflict,legal_policy_uncertainty,fire,legal_policy_uncertainty,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. Applicable prospective contract found; preparing answer.,TfidfRawMemory,fire,legal_policy_uncertainty,Plan: Clarify uncertainty and avoid presenting it as legal advice. Check: The response must mention uncertainty and that it is not legal advice. I will address the request after completing that prospective action.,,,,,,,,
